dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
12240,"Rayrun Technology Co., Ltd",TDS15DL-B/E,6978074070189,6978074070189,"101,102,207,209"
12081,JVV Grup S.L.,MASTER MRM PRO DALI-2,1073-091-0D / 06.0680.14.DA,8437029814004,"101,102"
12128,JVV Grup S.L.,CPU SLIM PLUS&MINUS 70W DALI-2,0932-070-0A / 5754696,8437029814011,"101,102"
12129,JVV Grup S.L.,CPU PLUS&MINUS 240W DALI-2,0932-060-0A / 5754695,8437029814028,"101,102"
12167,Seawin,"KNX-DALI-Gateway,2-Fold",MG1002,6979261570000,"101,103"
12168,Seawin,"KNX-DALI-Gateway,1-Fold",MG1001,6979261570017,"101,103"
12239,KGP Electronics GmbH,DT6-48V 300-1050A,DT6-48V 300-1050A,742773671437,"101,102,105,207,251,252,253"
12042,Telensa,T3E7N-GG,910505104162,8721103400024,"101,103,351"
12107,POWERLED,EC-LP-30D POWERLED,90410337,6974487502637,"101,102,202"
12108,POWERLED,LC-45D POWERLED,90144050,6974487502590,"101,102,207"
12109,POWERLED,LT-75-24D POWERLED,90130902,6974487502613,"101,102,207"
12110,POWERLED,LT-150-24D POWERLED,90130916,6974487502620,"101,102,207"
12203,"Delta Electronics, Inc.",LNA-1K8A45ABHGB,LNA-1K8A45ABHGB,4718018503159,"101,102,150,207,250,251,252,253"
10804,Beş A,RINA Maintained model PCB Circuit Board (Control Gear),RINA Control Gear,8681612414304,"101,102,202"
12204,BOKE,BK-DAN080E-D1050ADPC,6971571385282,6971571385282,"101,102,207,251,252,253"
12210,BOKE,BK-DAN080E-D0550ADNC,6971571384629,6971571384629,"101,102,207,251,252,253"
12214,BOKE,BK-DAN025E-D0350ADNC,6971571384698,6971571384698,"101,102,207,251,252,253"
12209,EUCHIPS,LCP75D-1H24V,LCP75D-1H24V,6971945901421,"101,102,207"
12212,EUCHIPS,LCP150D-1H24V,LCP150D-1H24V,6971945901445,"101,102,207"
12221,LITEON,RE-1200-I90J,RE-1200-I90J,4718390441148,"101,102,207"
11884,Luxbox,LCDI 220V/3W.180/XL2-DALI,2382981,7630602508548,"101,102,202"
12216,Luxbox,LCDI 55V/3W.180/XL2-DALI,2382977,7630602504540,"101,102,202"
12218,Shenzhen WanXiu Electronic...,Switch Module,6977869450113,6977869450113,"101,103,301"
12127,MiBoxer,DL2-T,DL2-T,6970602187918,"101,102,207,209"
12192,Inventronics,DALI-2 PANEL FM 2B PWC 36X1 INVENTRONICS,AM50741,6977078991186,"101,103,301,332"
12193,Inventronics,DALI-2 PANEL FM 8B PWC 36X1 INVENTRONICS,AM50744,6977078991353,"101,103,301,332"
12120,LiFud,LF-ACD040B-1050-57-T,00789091934493,00789091934493,"101,102,207,250,251,252,253"
12121,LiFud,LF-ACD075B-1050-115-T,00789091934509,00789091934509,"101,102,207,250,251,252,253"
12123,LiFud,LF-ACD120B-1050-220-T,00789091934516,00789091934516,"101,102,207,250,251,252,253"
12124,LiFud,LF-ACD165B-1050-236-T,00789091934523,00789091934523,"101,102,207,250,251,252,253"
12140,MOSO,X8-060D062,X8-060D062,6972911671140,"101,102,150,207,250,251,252,253"
12141,MOSO,X8-075D056,X8-075D056,6972911671157,"101,102,150,207,250,251,252,253"
12142,MOSO,X8-075D108,X8-075D108,6972911671164,"101,102,150,207,250,251,252,253"
12143,MOSO,X8-100D056,X8-100D056,6972911671171,"101,102,150,207,250,251,252,253"
12144,MOSO,X8-150D056,X8-150D056,6972911671188,"101,102,150,207,250,251,252,253"
12145,MOSO,X8-150D214,X8-150D214,6972911671195,"101,102,150,207,250,251,252,253"
12146,MOSO,X8-200D056,X8-200D056,6972911671201,"101,102,150,207,250,251,252,253"
12147,MOSO,X8-200D286,X8-200D286,6972911671218,"101,102,150,207,250,251,252,253"
12148,MOSO,X8-240D056,X8-240D056,6972911671225,"101,102,150,207,250,251,252,253"
12150,MOSO,X8-240D343,X8-240D343,6972911671232,"101,102,150,207,250,251,252,253"
12151,MOSO,X8-320D056,X8-320D056,6972911671249,"101,102,150,207,250,251,252,253"
12152,MOSO,X8-320D457,X8-320D457,6972911671256,"101,102,150,207,250,251,252,253"
12130,Ecosense,Trov L45 RGBW 1ft Luminaire,Trov L45 RGBW 1ft Luminaire,199284060630,"101,102,209,224"
12131,Ecosense,Trov L60 RGBW 1ft Luminaire,Trov L60 RGBW 1ft Luminaire,199284045521,"101,102,209,224"
12132,Ecosense,Trov L60 RGBW 4ft Luminaire,Trov L60 RGBW 4ft Luminaire,199284028128,"101,102,209,224"
12198,DONE,DL-500W-V24D-RXG,DL-500W-V24D-RXG,06976232110241,"101,102,207,251"
12201,DONE,DL-75W-V24D-RAS,DL-75W/-V24D-RAS,06976232110371,"101,102,207,251"
12202,DONE,DL-75W-V12D-RAS,DL-75W/-V12D-RAS,06976232110388,"101,102,207,251"
12196,MultiControls,LightBox MultiHub 2-Channel,MultiHub/2/DALI-2,5065025913044,"101,103"
12197,MultiControls,LightBox MultiHub 1-Channel,MultiHub/1/DALI-2,5065025913051,"101,103"
12199,Verizon,Light Sense node - 120-277V Gray w/Last Gasp,S90-000200,00860014451119,"101,103,351"
12016,Telensa,T3E7N-GB,910505104161,8721103400017,"101,103,351"
12194,BOKE,BK-DAN060E-D0550ADNC,6971571385039,6971571385039,"101,102,207,251,252,253"
12195,BOKE,BK-DAN040E-D0400ADNC,6971571385022,6971571385022,"101,102,207,251,252,253"
12017,Foshan Hensoo Future Techno...,HS-36-900-OU-DALI-B,HS-36-900-OU-DALI-B,6977286840146,"101,102,207,251,252,253"
12018,Foshan Hensoo Future Techno...,HS-44-1050-MI-DALI-AS,HS-44-1050-MI-DALI-AS,6977286840337,"101,102,207,251,252,253"
12019,Foshan Hensoo Future Techno...,HS-15-700-OU-DALI-B,HS-15-700-OU-DALI-B,6977286840351,"101,102,207,251,252,253"
12020,Foshan Hensoo Future Techno...,HS-44-1050-MI-DALI-BS,HS-44-1050-MI-DALI-BS,6977286840344,"101,102,207,251,252,253"
12082,Foshan Hensoo Future Techno...,HS-44-1050-MIL-DALI-BS,HS-44-1050-MIL-DALI-BS,6977286840399,"101,102,207,251,252,253"
12099,Foshan Hensoo Future Techno...,HS-36-1050-MIR-DALI-A,HS-36-1050-MIR-DALI-A,6977286840122,"101,102,207,251,252,253"
12100,Foshan Hensoo Future Techno...,HS-44-1050-MIL-DALI-AS,HS-44-1050-MIL-DALI-AS,6977286840382,"101,102,207,251,252,253"
12101,Foshan Hensoo Future Techno...,HS-20-850-MIR-DALI-A,HS-20-850-MIR-DALI-A,6977286840078,"101,102,207,251,252,253"
12122,Cooper Lighting Solutions,WaveLinx DALI Hub,WDH-D2-LV,080083457595,"101,103"
12077,Fulham,T1A1240024V-100EE-G2,T1A1240024V-100EE-G2,847098052043,"101,102,207"
12113,Inventronics,OT DX 75/170-240/1A05 NFC E G2,6937186179043,6937186179043,"101,102,150,207,250,251,252,253"
12149,Skydance,DB-12-150-500-2DA,DB-12-150-500-2DA,6975617411607,"101,102,207,209"
11953,Foshan Hensoo Future Techno...,HS-10-500-MI-DALI-BI-SS,HS-10-500-MI-DALI-BI-SS,6977286840061,"101,102,207,251,252,253"
11954,Foshan Hensoo Future Techno...,HS-15-700-MI-DALI-AS,HS-15-700-MI-DALI-AS,6977286840108,"101,102,207,251,252,253"
11955,Foshan Hensoo Future Techno...,HS-15-700-MI-DALI-BI-SS,HS-15-700-MI-DALI-BI-SS,6977286840054,"101,102,207,251,252,253"
11956,Foshan Hensoo Future Techno...,HS-15-700-MI-DALI-BS,HS-15-700-MI-DALI-BS,6977286840207,"101,102,207,251,252,253"
11957,Foshan Hensoo Future Techno...,HS-15-700-MI-DT8-BS,HS-15-700-MI-DT8-BS,6977286840238,"101,102,207,209,251,252,253"
11958,Foshan Hensoo Future Techno...,HS-20-800-MI-DALI-AS-SS,HS-20-800-MI-DALI-AS-SS,6977286840276,"101,102,207,251,252,253"
11959,Foshan Hensoo Future Techno...,HS-20-800-MI-DALI-BS-SS,HS-20-800-MI-DALI-BS-SS,6977286840283,"101,102,207,251,252,253"
11960,Foshan Hensoo Future Techno...,HS-23-700-MI-DALI-AS,HS-23-700-MI-DALI-AS,6977286840214,"101,102,207,251,252,253"
11969,Foshan Hensoo Future Techno...,HS-23-700-MI-DALI-BS,HS-23-700-MI-DALI-BS,6977286840221,"101,102,207,251,252,253"
11971,Foshan Hensoo Future Techno...,HS-23-700-OU-DALI-B,HS-23-700-OU-DALI-B,6977286840139,"101,102,207,251,252,253"
11972,Foshan Hensoo Future Techno...,HS-36-900-MI-DALI-AS,HS-36-900-MI-DALI-AS,6977286840269,"101,102,207,251,252,253"
11974,Foshan Hensoo Future Techno...,HS-36-900-MI-DALI-BS,HS-36-900-MI-DALI-BS,6977286840252,"101,102,207,251,252,253"
11977,Foshan Hensoo Future Techno...,HS-36-900-MI-DT8-BS,HS-36-900-MI-DT8-BS,6977286840160,"101,102,207,209,251,252,253"
12177,Signify,LLC7460/00 RFL EC ZDC  868MHZ LG,9137010741,8721103094063,"101,103,351"
12178,Signify,LLC7461/00 RFL EC ZDC 868MHZ DG,9137010742,8721103094087,"101,103,351"
12159,Fulham,T1A1240024V-150EE-G2,T1A1240024V-150EE-G2,847098052050,"101,102,207"
12161,Fulham,T1A2240024V-150EE-G2,T1A2240024V-150EE-G2,847098052074,"101,102,207,209"
12153,Megaman,LD232037/da/mc-C0950A,LD232037/da/mc-C0950A,6979254520043,"101,102,207"
12093,Inventronics,IT D0 200/220-240/24 C 1,AM51155,6937186142276,"101,102,207"
12158,BOKE,BK-DRL015S-AHC0700ADN,6971571384858,6971571384858,"101,102,207,251,252,253"
12166,BOKE,BK-DRL010S-AHC0500ADN,6971571384988,6971571384988,"101,102,207,251,252,253"
12174,CUPOWER,RD ECSCI 40/230/100-1050 DT6 AUX NFC,A9900213,6978852110397,"101,102,207,251,252,253"
12011,R. STAHL Schaltgerate GmbH,"6046/311-841-061 10W 285mA 2,5Ah",6046/311-841-061,4046827178030,"101,102,202,207,251,252,253"
12175,e:cue,Glass Touch GT12X White,CL25100005435,4897135737477,"101,103,301,332"
12173,Seatronic,Escape Round DALI,SESR/DA2,6977632280046,"101,102,202"
12180,MultiControls,LightBox MultiHub 3-Channel,MultiHub/3/DALI-2,5065025913037,"101,103"
12169,Shenzhen Lejia Electronics...,QD-1DS25-300L-060R13,QD-1DS25-300L-060R13,6979275330010,"101,102,207,209,251"
